 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;0.000
08:15;0.004
08:30;0.042
08:45;0.145
09:00;0.152
09:15;0.260
09:30;0.453
09:45;0.588
10:00;0.350
10:15;0.419
10:30;0.296
10:45;0.272
11:00;0.295
11:15;0.207
11:30;0.488
11:45;0.541
12:00;0.558
12:15;0.424
12:30;0.325
12:45;0.307
13:00;0.262
13:15;0.221
13:30;0.228
13:45;0.270
14:00;0.212
14:15;0.276
14:30;0.278
14:45;0.180
15:00;0.115
15:15;0.090
15:30;0.022
15:45;0.025
16:00;0.005
16:15;0.000
16:30;0.000
16:45;0.000
17:00;0.000
17:15;
17:30;
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
